python-pipx 1.12.0-1
python-screeninfo 0.8.1-3
qemu-full 11.0.0-1
qimgv-git 1.0.2.r190.g3127a2d-1
qpdf 12.3.2-2.1
qt5-remoteobjects 5.15.18-1
qt5-wayland 5.15.19+kde+r55-1.1
qt5-webchannel 5.15.18+kde+r3-1
qt5-webengine 5.15.19-5
qt6-virtualkeyboard 6.11.1-1.1
qt6-wayland 6.11.1-1.1
radeontop 1.4-3.1
reflector 2023-5
remmina 1:1.4.43-2.1
rofi 2.0.0-1.1
rustup 1.29.0-2.1
samba 2:4.24.2-1.1
sassc 3.6.2-5.1
satty 0.20.1-2.1
scrcpy 4.0-1.1
scrot 2.0.0-1.1
sddm 0.21.0-8
showmethekey 1.21.0-1.1
signal-desktop 8.10.0-1
slurp 1.5.0-2.1
smartmontools 7.5-1.1
socat 1.8.1.1-1.1
solaar 1.1.19-1
spotify 1:1.2.89.539-1
starship 1.25.1-1
steam 1.0.0.85-6
stow 2.4.1-1
sudo 1.9.17.p2-2.1
sunshine 2026.516.143833-1
swaync 0.12.6-1.1
swayosd-git 0.2.1.r32.g4df09e1-1
swtpm 0.10.1-2.1
sysprof 50.0-2.1
task 3.4.2-1.1
tcpdump 4.99.6-1.1
television 0.15.7-1.1
thunar 4.20.8-3.1
timeshift 25.12.4-1.1
tldr 3.4.4-1
tmon 7.0.9-1
tmux 3.6_b-2.1
traceroute 2.1.6-1.2
tree 2.3.2-1
ttf-0xproto-nerd 3.4.0-2
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-roboto-mono 3.001-1
ttyd 1.7.7-3.1
tumbler 4.20.1-1.1
turbostat 7.0.9-1
ueberzugpp 2.9.8-3.1
ufw 0.36.2-7
usbip 7.0.9-1
uwsm 0.26.4-1
vesktop-bin 1.6.5-1
vim 9.2.0498-1.1
virt-manager 5.1.0-3
virt-viewer 11.0-4.1
viu 1.6.1-2.1
vlc 3.0.22-4.1
vlc-plugin-ffmpeg 3.0.22-4.1
vlc-plugin-live555 3.0.22-4.1
vlc-plugins-all 3.0.22-4.1
vlc-plugins-extra 3.0.22-4.1
vulkan-intel 2:26.1.1-1
vulkan-nouveau 2:26.1.1-1
vulkan-radeon 2:26.1.1-1
vulkan-tools 1.4.350.0-1.1
walker-bin 2.16.2-1
waybar 0.15.0-2.1
waypaper 2.8-1
wev 1.1.0-1.1
wget 1.25.0-4.1
wireless_tools 30.pre9-5.1
wireplumber 0.5.14-1.1
wlogout 1.2.2-0
wofi 1.5.3-1.1
wombat-bin 0.5.0-2
wpa_supplicant 2:2.11-5.1
wqy-zenhei 0.9.45-10
wtype 0.4-2.4
x86_energy_perf_policy 7.0.9-1
xdg-desktop-portal-hyprland 1.3.11-4.1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1.1
xf86-video-ati 1:22.0.0-3.1
xf86-video-nouveau 1.0.18-1.2
xf86-video-vmware 13.4.0-4
xorg-xeyes 1.3.1-1.1
xorg-xinit 1.4.4-1.1
xss-lock 0.4.0-1.1
xterm 410-1.1
yay 12.5.7-1
yay-debug 12.5.7-1
yazi 26.5.6-2.1
yt-dlp-git 2026.03.17.r1.gf01e1a1-1
ytfzf 2.6.2-2
zen-browser-bin 1.19.13b-1
zoom 7.0.5-1
zoxide 0.9.9-2.1
zram-generator 1.2.1-1.1
zsh 5.9-6.1
zsh-autosuggestions 0.7.1-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-2
zsh-theme-powerlevel10k-git r4322.604f19a9-1
